#compound Initial Optimized Reoptimized Retrained
2300MM 15.46 0.1 0.1 0.33
2300MP 22.82 0.98 0.98 1.22
2300MS 11.03 0.9 0.9 6.25
2300MT 17.75 0.57 0.57 28.87
2300MU 19.55 0.09 0.09 5.37
2300MV 23.86 1.89 1.89 1.0
2300MX 0.02 0.08 0.08 0.0
2300MW 7.42 2.0 2.0 9.74
2300MZ 15.69 0.79 0.79 12.85
2300N0 4.11 1.1 1.1 1.72
2300N1 97.76 0.17 0.17 0.43
2300N2 22.24 0.42 1.19 6.29
2300N3 14.24 4.04 4.04 3.13
2300N5 10.14 9.93 9.93 108.19
2300N8 6.42 0.41 0.41 2.0
2300N4 1.76 0.29 0.29 1.76
2300N9 9.51 0.34 0.34 1.87
2300NA 5.89 0.13 0.13 9.73
2300NF 3.68 1.02 1.02 1.89
2300NE 5.12 1.19 1.19 1.46
2300NH 7.46 0.13 0.13 16.05
2300NI 22.78 0.83 0.83 2.87
2300NJ 58.81 2.08 2.08 2.0
2300NK 16.51 0.23 0.23 2.32
2300NL 4.44 0.75 0.75 4.5
2300NM 3.23 0.87 0.87 1.14
2300NO 14.89 1.73 1.73 3.02
2300NT 25.89 1.12 1.12 3.81
2300NV 12.9 1.41 1.41 1.95
2300NU 10.95 2.67 2.67 4.67
2300NX 6.35 0.46 0.46 6.42
2300NY 35.26 5.32 5.32 19.48
2300NZ 70.88 2.13 2.13 4.14
2300O0 150.55 0.77 0.77 11.62
2300O1 20.23 2.15 2.15 2.18
2300O2 14.52 0.12 0.13 3.48
2300O3 6.59 0.07 0.07 5.52
2300O4 36.97 1.3 1.3 16.21
2300O5 57.1 0.39 0.39 12.97
2300O6 5.38 0.37 0.37 3.96
2300O7 60.95 0.77 0.08 10.36
2300O8 17.69 4.64 4.64 5.04
2300O9 24.78 0.1 0.1 1.93
2300OA 3.09 0.26 0.26 22.31
2300OC 27.67 0.06 0.06 5.7
2300OF 58.51 0.76 0.76 6.67
2300OG 17.28 1.68 1.68 3.39
2300OH 72.66 1.84 1.84 2.38
2300OJ 83.42 2.66 2.66 23.09
2300OL 41.97 0.42 0.42 14.53
2300OK 1.97 0.68 0.68 1.82
2300ON 15.49 6.34 6.34 10.0
2300OO 9.66 1.48 1.48 1.45
2300OP 20.28 0.14 0.14 1.69
2300OT 7.98 7.98 7.98 7.98
2300OU 7.22 0.57 0.57 0.56
2300OW 3.53 0.87 0.87 1.15
2300OV 89.48 1.2 1.2 3.26
2300OX 75.87 5.48 5.48 11.95
2300OZ 13.88 0.6 0.6 4.16
2300P0 17.73 0.33 0.33 25.52
2300P1 48.13 3.57 3.57 10.24
2300P2 50.44 0.77 0.77 21.76
2300P5 30.99 1.8 1.8 0.55
2300P6 3.54 0.48 0.3 0.63
2300P8 16.85 0.81 0.81 2.7
2300PA 73.15 2.39 2.39 22.98
2300PC 10.76 0.24 0.24 18.06
2300PD 62.9 0.84 0.84 17.6
2300PF 3.68 2.28 2.28 6.39
2300PG 6.31 0.77 0.77 1.96
2300PI 33.1 0.66 0.66 4.8
2300PK 23.7 1.24 1.24 12.85
2300PL 5.83 0.4 0.4 0.0
2300PM 9.27 0.36 0.36 2.65
2300PO 4.77 1.39 1.39 2.56
2300PP 38.64 4.87 4.87 10.22
2300PQ 19.51 0.11 0.11 16.51
2300PR 18.53 0.59 0.59 0.28
2300PS 5.25 2.37 2.37 4.54
2300PT 25.29 0.12 0.12 1.98
2300PV 143.62 0.59 0.59 17.58
2300PW 21.43 0.09 0.09 6.1
2300PX 15.88 1.31 1.31 21.54
2300PY 6.54 1.27 1.27 2.82
2300PZ 21.82 6.85 6.85 6.98
2300Q0 12.1 2.12 2.12 9.16
2300Q5 18.41 3.1 3.1 13.41
2300Q8 19.88 1.54 1.54 4.33
2300Q9 4.06 3.02 3.02 8.46
2300QB 24.78 2.44 2.44 5.79
2300QA 93.48 1.25 1.25 11.56
2300QE 12.16 0.35 0.35 4.66
2300QD 26.93 0.14 0.14 4.54
2300QF 12.29 0.33 0.33 6.89
2300QG 13.58 2.49 2.49 2.77
2300QI 67.42 0.61 0.61 47.16
2300QK 16.39 0.64 0.64 4.18
2300QL 34.73 1.22 1.22 4.51
2300QO 27.42 0.21 0.21 5.51
2300QN 19.89 2.83 2.83 11.49
2300QP 18.89 0.99 0.99 23.62
2300QT 6.15 6.15 6.15 6.15
2300QS 15.13 0.31 0.31 17.76
2300QU 25.9 2.92 2.92 3.51
2300QX 15.25 0.21 0.21 12.22
2300QY 12.64 1.26 1.26 4.44
2300QZ 36.39 1.09 1.09 2.18
2300R1 9.97 1.01 1.01 0.13
2300R2 2.06 1.98 1.98 2.34
2300R3 12.44 6.82 6.82 6.7
2300R5 13.84 0.94 0.94 2.45
2300R6 25.08 0.23 0.23 1.03
2300R7 10.27 1.19 1.19 7.5
2300R8 8.45 2.05 2.05 2.29
2300R9 55.36 0.17 0.17 1.0
2300RB 17.77 0.85 0.85 8.61
2300RA 19.13 0.2 0.2 0.14
2300RE 18.1 0.12 0.12 6.64
2300RF 14.12 0.07 0.07 0.45
2300RG 5.14 1.71 1.71 2.35
2300RI 6.49 0.45 0.45 17.14
2300RJ 4.73 0.86 0.86 4.29
2300RL 3.18 0.73 0.73 1.77
2300RM 2.94 1.97 1.97 1.61
2300RN 79.47 0.83 0.83 3.31
2300RO 20.9 0.28 0.28 5.14
2300RR 5.28 0.14 0.14 4.46
2300RS 43.77 1.1 1.1 22.62
2300RY 39.05 19.82 19.82 23.42
2300RZ 5.3 0.55 0.55 4.71
2300S1 22.05 0.08 0.08 7.1
2300S4 6.25 1.78 1.78 3.37
2300S7 6.98 0.5 0.5 4.58
