#Atom_RMSD:ini opt rep pre zincid
0.102064 0.0734098 0.0874389 0.0833552 ZINC000025757901n
0.222685 0.179534 0.179534 0.1798 ZINC000026422980n
0.167766 0.107989 0.107989 0.109944 ZINC000026502377
0.185589 0.185322 0.185322 0.184035 ZINC000026742018
0.13554 0.13615 0.13615 0.13627 ZINC000026895446
0.0702638 0.126809 0.126809 0.127152 ZINC000026898894
0.250922 0.0771645 0.0771645 0.0772504 ZINC000028294478
0.125361 0.341719 0.341719 0.363373 ZINC000028873866
0.0934533 0.0585094 0.0585094 0.0584976 ZINC000028873866_2
0.156453 0.175158 0.175158 0.173814 ZINC000031819861
0.048555 0.096882 0.096882 0.096882 ZINC000032099445
0.114395 0.107031 0.107031 0.10709 ZINC000032182542
0.112412 0.0594604 0.0594604 0.0598744 ZINC000032208683
0.0873001 0.0755168 0.0755168 0.0749105 ZINC000032501004
0.10864 0.170243 0.142633 0.142899 ZINC000032629462n
0.251711 0.238529 0.238529 0.235504 ZINC000032650373
0.0621351 0.064618 0.064618 0.0665419 ZINC000032919481_2
0.0599864 0.0615247 0.0615247 0.0616644 ZINC000033374122
0.0622354 0.0966208 0.0966208 0.0953445 ZINC000033487145
0.094217 0.0800842 0.0800842 0.0829116 ZINC000033755328
0.0760919 0.105286 0.105286 0.0992576 ZINC000033779816
0.0590015 0.0727689 0.0727689 0.0728626 ZINC000033855254_2
0.208944 0.174888 0.174888 0.174924 ZINC000034183726
0.0798476 0.092596 0.092596 0.0908731 ZINC000034235494
0.0766493 0.0759418 0.0759418 0.0754158 ZINC000034278388
0.115451 0.120956 0.120956 0.119774 ZINC000034290676_1
0.215507 0.156127 0.156127 0.158217 ZINC000034380900
0.322134 0.189563 0.190375 0.189911 ZINC000034380901
0.129825 0.121497 0.121497 0.121557 ZINC000034407239
0.0630778 0.041988 0.041988 0.0409061 ZINC000034490455
0.112843 0.0601383 0.0601383 0.0590011 ZINC000034555277
0.0639648 0.0564906 0.0564906 0.0563279 ZINC000034571268_1
0.0501851 0.0623762 0.0623762 0.0614372 ZINC000034618206_1
0.0470157 0.0470802 0.0470802 0.0474468 ZINC000034771056
0.156026 0.121632 0.121632 0.120933 ZINC000035458091
