#E_RMSD:ini opt rep pre zincID
3.09 3.09 3.09 3.09 ZINC000037240057_1
2.46274 1.32246 1.32246 1.83322 ZINC000037408014
0 0 0 0 ZINC000037439210
0.976107 0.290172 0.290172 0.387188 ZINC000037439210n
1.75677 0.784809 0.784809 0.728938 ZINC000037730507
1.09 0.43 0.43 0.28 ZINC000038063705
1.55 2.12 2.12 1.69 ZINC000038124736
2.46764 0.966622 0.966622 1.18155 ZINC000038124736n
0.61 0.59 0.59 0.83 ZINC000038124736n_1
0.02 0.05 0.05 0.05 ZINC000038391975
10.0432 3.84033 3.84033 3.84566 ZINC000038583212
3.05883 2.96314 2.96314 2.99226 ZINC000039101372
3.51544 3.05389 3.05389 3.00001 ZINC000039113424n_2
4.63269 4.69683 4.69683 4.70309 ZINC000039119147_1
1.06436 0.924857 0.924857 0.899322 ZINC000039148328
2.13 2.13 2.13 1.94 ZINC000039243736
3.79527 0.479427 0.104403 0.176777 ZINC000039253580
1.22 0.43 0.43 0.4 ZINC000039254274
5.55169 2.44969 4.44409 4.52573 ZINC000039269407n
9.3848 0.911036 0.911036 0.916008 ZINC000039279376_1
0.685657 0.594664 0.594664 0.591629 ZINC000039339470
0.950193 0.948771 0.948771 1.03297 ZINC000039339470n
0 0 0 0 ZINC000039369942
0.4 0 0 0 ZINC000040448357
1.84337 0.501348 0.501348 0.462331 ZINC000040539044
4.38473 4.89588 4.89588 5.29872 ZINC000041671393
2.88158 2.79198 2.79198 2.77695 ZINC000041701782n
3.41002 4.47219 4.47219 4.49843 ZINC000042783320
6.12029 1.87058 1.87058 1.94653 ZINC000043198885
3.81408 2.89078 2.89078 2.84739 ZINC000043199025
3.71496 0.28775 0.28775 0.263629 ZINC000043199025_1
4.64838 0.408718 2.82936 2.42546 ZINC000043761817
3.15907 3.51334 3.51334 3.4339 ZINC000043763293
0 0 0 0 ZINC000044082570
2.03542 0.891123 0.891123 0.89826 ZINC000044082668
0.03 0.27 0.27 0.14 ZINC000044119062
1.90973 1.8652 1.8652 1.72112 ZINC000044138759
6.31965 1.7481 1.7481 1.95566 ZINC000044138759n
3.47016 2.18986 2.18986 2.13639 ZINC000044396420n
0.52 0 0 0.01 ZINC000044787391_1
2.39785 1.58379 1.58379 1.46978 ZINC000044831084
2.37793 1.42359 1.42359 1.41033 ZINC000045027560
0.814964 2.17149 2.17149 2.01775 ZINC000045028047n
1.75547 1.61666 1.61666 1.56767 ZINC000045238423
3.09742 3.45884 3.45884 3.50058 ZINC000045918651
2.25465 3.26441 3.26441 2.98725 ZINC000047476143
0.800299 1.37791 1.37791 1.19332 ZINC000047476143n
1.3 1.3 1.3 1.3 ZINC000047912995n
0.54286 0.747949 0.747949 0.576607 ZINC000050330894
0.138564 0.0866025 0.0866025 0.0288675 ZINC000052842060
0.33 0.16 0.16 0.09 ZINC000053994765
1.89041 0.228692 0.228692 0.289885 ZINC000055167591
1.86303 2.09866 2.09866 2.04488 ZINC000057347165
0 0 0 0 ZINC000057352171_1
0.46 0.22 0.22 0.27 ZINC000057382550
3.64286 1.757 1.757 1.89212 ZINC000057490024
1.52582 1.17681 1.17681 1.14811 ZINC000057490024n_1
1.3929 1.17641 1.17641 1.17641 ZINC000057490024_S_1
3.87868 1.17393 1.17393 1.21687 ZINC000057935980_1
0 0 0 0 ZINC000059549875_1
0.790253 0.800062 0.800062 0.805016 ZINC000059778361
0.830261 0.477415 0.470425 0.416703 ZINC000060534201
5.14326 4.49135 4.49135 4.49135 ZINC000061916723_1
0 0 0 0 ZINC000062152173
3.42422 0.522398 0.522398 0.706045 ZINC000062716671n
1.65095 1.13248 1.13248 1.03569 ZINC000064542464_1
1.90275 2.79638 2.79638 2.50121 ZINC000064551368
2.07354 0.733662 0.733662 0.808987 ZINC000065504158
0.0984886 0.655477 0.655477 0.311448 ZINC000066091421
0.560223 0.190919 0.190919 0.169706 ZINC000066346333n
0 0 0 0 ZINC000066347747
4.50977 1.22095 0.912647 0.915778 ZINC000067321260_1
0.68 0.65 0.65 0.33 ZINC000067801367
3.49638 1.93039 1.93039 1.6694 ZINC000067802530
2.49312 1.05271 1.05271 1.10905 ZINC000068568666
0.046188 0.0288675 0.0288675 0.0288675 ZINC000068575131
4.41989 3.56489 3.56489 3.49227 ZINC000068575710
2.11415 2.36824 2.36824 2.41598 ZINC000068575710n
1.21572 2.34167 2.34167 2.14999 ZINC000068585096n
0.596669 0.200606 0.200606 0.22194 ZINC000068587490
