#Atom_RMSD:ini opt reo ret zincid
0.237883 0.23769 0.23769 0.238851 2300F7
0.317737 0.19885 0.19885 0.200487 2300F8
0.140257 0.555141 0.555141 0.582099 2300F9
0.207416 0.0997304 0.0997304 0.100194 2300FA
0.527731 0.474708 0.474708 0.472952 2300FB
0.620938 0.308856 0.308856 0.30913 2300FC
0.306831 0.237438 0.237438 0.237908 2300FE
0.427982 0.309776 0.309776 0.317645 2300FF
0.116047 0.104634 0.104634 0.10669 2300FG
0.50674 0.507597 0.507597 0.506073 2300FH
0.55085 0.373986 0.373986 0.388278 2300FI
0.395066 0.293575 0.30094 0.298509 2300FJ
0.455006 0.459599 0.459599 0.459418 2300FK
0.0630479 0.0420723 0.0420723 0.0409938 2300FM
0.112918 0.0602367 0.0602367 0.059088 2300FO
0.686384 0.248084 0.248084 0.245813 2300FP
0.0914292 0.0861179 0.0861179 0.11643 2300FQ
0.3143 0.355716 0.355716 0.378864 2300FR
0.407388 0.382612 0.382612 0.402161 2300FT
0.274122 0.310356 0.310356 0.311187 2300FU
0.557655 0.379551 0.379551 0.378928 2300FV
0.207807 0.221558 0.221558 0.220525 2300FX
0.228299 0.217408 0.217408 0.216296 2300FY
0.0590819 0.0590818 0.0590818 0.0590818 2300FZ
0.420712 0.199482 0.199482 0.192535 2300G1
0.399133 0.317872 0.317872 0.318667 2300G3
0.160479 0.127512 0.127512 0.126455 2300G4
0.491997 0.489945 0.489945 0.490055 2300G7
0.0624138 0.0583394 0.0583394 0.0588019 2300G8
0.458724 0.460057 0.45875 0.459224 2300G9
0.399011 0.579521 0.579521 0.5792 2300GA
0.233244 0.276095 0.276095 0.276907 2300GB
0.353243 0.509016 0.509016 0.390206 2300GC
0.339708 0.291555 0.291555 0.299146 2300GD
0.129211 0.171375 0.171375 0.171605 2300GE
0.491992 0.74786 0.74786 1.00775 2300GF
0.601166 0.715639 0.715639 0.742222 2300GG
0.175049 0.107571 0.107571 0.117213 2300GI
0.286908 0.102002 0.102002 0.103255 2300GJ
0.312858 0.352464 0.352464 0.086291 2300GK
0.0829556 0.32553 0.32553 0.324424 2300GM
0.425285 0.525734 0.525734 0.527635 2300GO
0.428897 0.306131 0.306131 0.307241 2300GR
0.150689 0.210395 0.210395 0.211386 2300GS
0.454293 0.464967 0.464967 0.464861 2300GT
0.104855 0.105257 0.105257 0.102506 2300GV
0.309451 0.316748 0.316748 0.316013 2300GW
0.316529 0.5494 0.146017 0.123886 2300GX
0.193617 0.144746 0.144746 0.142341 2300GY
0.256998 0.351697 0.287424 0.272911 2300H0
0.287876 0.172952 0.172952 0.173048 2300H1
0.330742 0.155869 0.155869 0.156999 2300H2
0.239496 0.256282 0.256282 0.252433 2300H3
0.569538 0.0597473 0.0597473 0.0595066 2300H4
0.0765218 0.0806317 0.0812595 0.0831056 2300H6
0.287349 0.271419 0.271419 0.270174 2300H7
0.133576 0.139106 0.139106 0.1342 2300H9
0.175585 0.16957 0.16957 0.170029 2300HA
0.576889 0.323418 0.323418 0.315805 2300HB
0.177626 0.150846 0.150846 0.151914 2300HD
0.507564 0.453111 0.453111 0.45336 2300HE
0.280709 0.291458 0.291458 0.290977 2300HF
0.115439 0.124223 0.12689 0.123524 2300HG
0.402969 0.411711 0.411711 0.412864 2300HH
0.374526 0.353747 0.353747 0.354245 2300HI
0.165972 0.11544 0.11544 0.11548 2300HJ
0.101456 0.0817219 0.0817219 0.0830689 2300HK
0.168356 0.186494 0.186494 0.18249 2300HL
0.328537 0.148986 0.148986 0.159736 2300HM
0.173714 0.134064 0.134064 0.133195 2300HN
0.218692 0.475903 0.475903 0.475819 2300HP
0.490259 0.184247 0.184247 0.186436 2300HR
0.398838 0.531106 0.531106 0.53113 2300HS
0.126563 0.158973 0.158973 0.161782 2300HU
0.143495 0.141636 0.141636 0.138324 2300HW
0.807805 1.00683 1.00683 1.056 2300HX
0.129193 0.148657 0.148657 0.138589 2300HY
0.180348 0.104568 0.104568 0.104509 2300HZ
0.0610107 0.0610106 0.0610106 0.0610106 2300I0
